content,score,sentiment,polarity,textblob_sentiment,textblob_polarity,textblob_subject,vader_compound,vader_neg,vader_neu,vader_pos,clean_content,clean_vader_compound,clean_vader_neg,clean_vader_neu,clean_vader_pos,clean_textblob_sentiment,clean_textblob_polarity,clean_textblob_subject
"So lagging for updating my money, although the mutation was written. It was risk when I want to use it for buy food and beverages",1,0,negative,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,-0.4927,0.162,0.792,0.047,lag money although written risk want food,-0.4939,0.459,0.408,0.133,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
"The notification center keep saying error. Thus, i cant proceed or approve my debit payment",1,0,negative,"Sentiment(polarity=-0.1, subjectivity=0.1)",-0.1,0.1,-0.4019,0.162,0.838,0,center keep say error cant proceed debit payment,-0.4019,0.278,0.722,0,"Sentiment(polarity=-0.1, subjectivity=0.1)",-0.1,0.1
Cant login because already registered on gojek app. I dont know how to continue to login/registration.,1,0,negative,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,0,0,1,0,cant login dont know login,0,0,1,0,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
"OVO and ShopeePay top-ups are totally not free!There's still top-up fees reduced from your total top-up amount, HOWEVER Jago is still claiming that it's free. FURTHERMORE even though there's a top-up fee, Jago ALSO REDUCED your ""Free Transfer & Top-up"" quotas i.e. if you have 50 free transfer quotas from Gold Level, then if you top-up OVO for 5 times you'd get only 45 free transfer quotas left. All that with 7.500 worth of your money gone for top-up fees (5 x 1.500). Pls fix, Flip is free unli",1,0,negative,"Sentiment(polarity=0.23000000000000004, subjectivity=0.6599999999999999)",0.23,0.66,0.9583,0,0.804,0.196,total free still fee total amount still claim free even though also free transfer quota free transfer quota gold level time free transfer quota left worth money gone fee flip free,0.9682,0,0.522,0.478,"Sentiment(polarity=0.26999999999999996, subjectivity=0.6399999999999999)",0.27,0.64
"My transaction are failed to debt, but my money already cut, when i ask for refund it take 2x24 hours, If transaction failed just return the money, but you make this thing complicated, to much process for return the money, fix it team",1,0,negative,"Sentiment(polarity=-0.325, subjectivity=0.45)",-0.325,0.45,-0.875,0.22,0.78,0,transact fail debt money refund take hour transact fail return money make thing much process return money team,-0.8591,0.388,0.612,0,"Sentiment(polarity=-0.26666666666666666, subjectivity=0.2666666666666666)",-0.266666667,0.266666667
"The UI is incredible but I would not recommend other people to use this bank. Since I open the account, 2 out of 3 outgoing transactions were caught into trouble. They already deduct the money and send me success receipt but the recipient does not receive the money. What make it worse, they don't provide checking service for the problematic transactions on weekends so I have to wait until Monday (transacting on Friday) just to check the problematic transaction.",1,0,negative,"Sentiment(polarity=0.07916666666666666, subjectivity=0.42916666666666664)",0.079166667,0.429166667,-0.8811,0.184,0.735,0.08,would recommend bank open account outgo transact caught deduct money send success receipt doe money make check transact weekend wait transact check transact,0.7351,0,0.772,0.228,"Sentiment(polarity=0.15, subjectivity=0.25)",0.15,0.25
"They updated the apps on Oct 5 and after that I couldn't place any transactions, my account is lagging, whatever I did just stuck in the very long process and then there is the notification that my account isn't recognized or even registered! What kind of update if it cannot sync the current data! They said I need to re-login but again I have problems in getting the OTP! until now I still cant access my account. so super annoying...",1,0,negative,"Sentiment(polarity=0.010416666666666652, subjectivity=0.6773333333333332)",0.010416667,0.677333333,-0.352,0.122,0.803,0.075,place transact account lag stuck veri long process account even kind sync current data said need login problem get still cant access account super annoy,-0.8292,0.37,0.535,0.096,"Sentiment(polarity=0.22083333333333333, subjectivity=0.5916666666666667)",0.220833333,0.591666667
"I passed a tier but still locked and got no benefits such as no fee transfer, and that always happens. What a waste of time",1,0,negative,"Sentiment(polarity=-0.1, subjectivity=0.25)",-0.1,0.25,-0.851,0.297,0.703,0,pass tier still lock benefit transfer alway happen wast time,0.4588,0,0.75,0.25,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
"I just activated my Jago account and the registration initial process almost became a red flag for me as it always get stuck on its final process until i forced to restart it. When i tried to login, it got stuck (again) on the 2 steps verification as i never received the notif on my phone. Not sure why but it has been a bad experience and i started to worry. User experience is one of the critical point for building image and trust. I believe the company could find ways to resolve this issue.",1,0,negative,"Sentiment(polarity=-0.17857142857142858, subjectivity=0.5079365079365079)",-0.178571429,0.507936508,-0.8009,0.161,0.769,0.07,account process almost flag alway stuck final process restart tri login stuck step never phone sure start user critic point build trust could find way,-0.3608,0.251,0.643,0.106,"Sentiment(polarity=0.25, subjectivity=0.9444444444444444)",0.25,0.944444444
"I found it hard to log in. The text bar said to input e-mail or phone number (which I did) and password, but when I press the log in button, the app said that the input is wrong (I've rechecked the id/pass several times, change the password several times but it didn't fix any issue whatsoever) and the application locked itself for an hour. Even that, when the app had been unlocked the issue still exist and I have to wait FOR ANOTHER AN HOUR to wait for the app to unlock itself. So annoying. Bye.",1,0,negative,"Sentiment(polarity=-0.31833333333333336, subjectivity=0.4683333333333334)",-0.318333333,0.468333333,-0.8731,0.098,0.891,0.011,found hard text said input mail phone number password press button said input wrong recheck pass sever time chang password sever time lock hour even unlock still exist wait hour wait unlock annoy,-0.7269,0.196,0.769,0.034,"Sentiment(polarity=-0.39583333333333337, subjectivity=0.7208333333333333)",-0.395833333,0.720833333
"I will rate this one because I can't even get past the registration process. Everytime I got to the do selfie phase it crashes my phone and made my phone went blank, and I had to restart my phone everytime. And after I opened the app I had to register from the beginning to fill the data again. Please fix the annoying bug.",1,0,negative,"Sentiment(polarity=-0.35000000000000003, subjectivity=0.3833333333333333)",-0.35,0.383333333,-0.1027,0.041,0.924,0.035,rate even past process phase crash phone made phone went blank restart phone open begin fill data annoy,-0.6808,0.259,0.741,0,"Sentiment(polarity=-0.08333333333333333, subjectivity=0.25)",-0.083333333,0.25
"Worst customer support ever had in Indo's Digital Banking. Can not verified acc & asked to trigger a manual verificatio email but told not to resend OTP (alred mentioned never received even though email is correct), ask to check signals (when everything else is working properly), and told can still use service without email verif. So what's the point of verification then??? Concerning about security here because of this respond alone. WA Support also so slow I wonder if these guys even know SLA",1,0,negative,"Sentiment(polarity=-0.325, subjectivity=0.375)",-0.325,0.375,0.6111,0.054,0.849,0.097,worst custom support ever digit bank ask trigger manual told resend mention never even though correct check signal els work told still without point concern respond support also slow wonder guy even know,0.0772,0.104,0.759,0.137,"Sentiment(polarity=-0.65, subjectivity=0.7)",-0.65,0.7
"UI smooth but UX respond time really really very slow. For example, just want to change pockets order it takes about 1-2 sec until it moves. And there's more examples that I can't write here about this app respond time problems. please optimize your UX.",1,0,negative,"Sentiment(polarity=0.10249999999999998, subjectivity=0.53)",0.1025,0.53,0.631,0.067,0.77,0.163,smooth respond time veri slow want chang pocket order take move write respond time problem,-0.34,0.159,0.765,0.076,"Sentiment(polarity=0.04999999999999999, subjectivity=0.44999999999999996)",0.05,0.45
"Unlike the other digital banks, Bank Jago's leveling process is very disappointing and not transparent. I HAVE fulfilled the requirements but I am still on the very basic level. Been thinking of deactivating the account then. In addition, the CS' response is slower than a snail. Bad experience!",1,0,negative,"Sentiment(polarity=-0.356, subjectivity=0.42283333333333334)",-0.356,0.422833333,-0.7498,0.135,0.83,0.035,digit bank bank level process veri disappoint still veri basic level think account snail,-0.4019,0.172,0.828,0,"Sentiment(polarity=0.0, subjectivity=0.125)",0,0.125
"I have changed the shortcut on the main page of the application several times but when the application is reloaded, the edited shortcut returns to the original. Frequent updates but no changes! Even to login while entering fingerprint or entering pin code sometimes crashes.",1,0,negative,"Sentiment(polarity=0.16666666666666666, subjectivity=0.3458333333333333)",0.166666667,0.345833333,0.1134,0.058,0.874,0.067,chang main page sever time reload edit return origin frequent chang even login enter fingerprint enter code crash,-0.4019,0.137,0.863,0,"Sentiment(polarity=0.13333333333333333, subjectivity=0.31666666666666665)",0.133333333,0.316666667
"Too many bugs with the app, not user friendly. If anything they managed to complicate simple transaction into complex approval. Edit as of 15/12 : Even with the recent update, several ui managed to show error. Seeing their template reply and blaming it to the user for not updating their app, can see that this is a recurring pattern of not owning up to their errors, Letting your finance in the hands of such irresponsible team is a big mistake /No transparency/tracking of user achievement",1,0,negative,"Sentiment(polarity=0.071875, subjectivity=0.32589285714285715)",0.071875,0.325892857,-0.9028,0.167,0.801,0.032,mani bug user transact complex edit even recent sever show error see blame user recur pattern error let hand team track user,-0.5574,0.269,0.621,0.11,"Sentiment(polarity=-0.15, subjectivity=0.325)",-0.15,0.325
"can't register. it has been two days. after input email and phone, can't set password. the real super bad experience for new user. already contact customer service via WA, they asked me to clear cache and download latest version (5.0.19). already done all of those. twice. still can't register.",1,0,negative,"Sentiment(polarity=0.1072727272727273, subjectivity=0.6809090909090909)",0.107272727,0.680909091,0.4588,0.062,0.821,0.116,day input phone password real super user contact custom ask clear latest version done twice still,0.7579,0,0.683,0.317,"Sentiment(polarity=0.3666666666666667, subjectivity=0.7611111111111111)",0.366666667,0.761111111
"Since 2 weeks ago it is keep force close, so I can't transfer my money on it. I have been updated it, re-install, and even restart my phone but it doesn't work. Meanwhile other application in my phone keep working very well.",1,0,negative,"Sentiment(polarity=0.037500000000000006, subjectivity=0.3375)",0.0375,0.3375,0.4748,0,0.93,0.07,week keep close transfer money even restart phone work phone keep work veri well,0.2732,0,0.861,0.139,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
"Slow apps, not responding recently",1,0,negative,"Sentiment(polarity=-0.15000000000000002, subjectivity=0.32499999999999996)",-0.15,0.325,0,0,1,0,slow respond recent,0,0,1,0,"Sentiment(polarity=-0.15000000000000002, subjectivity=0.32499999999999996)",-0.15,0.325
"I can't even make an account, tried to login several times and send me a lot OTP which is makes me very confused so I have to try on Gojek app wish I can login easily but it stuck too, I create with the same email and phone number I used on Gojek but it seems like stuck with the same problem again. So I tried to back to JAGO app and I'm successfully login with ""null""name on it but I can't click anything and all I could do just uploaded my tax identification card, plz fix em this app is damn slow",1,0,negative,"Sentiment(polarity=0.04541666666666666, subjectivity=0.41791666666666666)",0.045416667,0.417916667,0.191,0.114,0.749,0.137,even make account tri login sever time send make veri wish login stuck creat phone number use seem like stuck problem tri back success login null name click could card damn slow,0.2023,0.216,0.55,0.234,"Sentiment(polarity=-1.850371707708594e-17, subjectivity=0.13333333333333333)",-1.85E-17,0.133333333
"Recent update has a bug where the cards in the ""card"" section always flashes like it is being refreshed over and over. I cant even open the card. Pressing any button on this section doesn't give any response. Please fix this ASAP or this app will become unusable",1,0,negative,"Sentiment(polarity=0.0, subjectivity=0.375)",0,0.375,0.5859,0,0.906,0.094,recent card card section alway flash like refresh cant even open card press button section give,0.3612,0,0.857,0.143,"Sentiment(polarity=0.0, subjectivity=0.375)",0,0.375
"Jago is great app. But as long I used it's become laggy . Very slow. I hate to use it. But the together account is great. But every update make it very laggy, I should force close my app and reopen again for complete process. Bad idea. Please make it faster again",1,0,negative,"Sentiment(polarity=-0.0049999999999999906, subjectivity=0.5858333333333333)",-0.005,0.585833333,-0.0118,0.149,0.688,0.163,great long use veri slow hate account great make veri close reopen process idea make faster,0.6705,0.149,0.522,0.329,"Sentiment(polarity=0.09, subjectivity=0.6399999999999999)",0.09,0.64
"Apps is error and doesn't work in android 12, cannot access dashboard. Please fix",1,0,negative,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,-0.5664,0.28,0.72,0,error work android access dashboard,-0.4019,0.403,0.597,0,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
Can't make an account it said that my email or phone number already has been registered but I never make jago account before,1,0,negative,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,0.0387,0,0.95,0.05,make account said phone number never make account,0.0772,0,0.843,0.157,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
Overall great app but please improve your customer service! It takes so long to respond. I have not been able to transfer to any BTPN account (says account not found despite being correct already) since 2 days ago! All my favorited accounts are gone and I can't add new bank accounts. I Will edit my review once you have answered your CS messages and properly help me.,1,0,negative,"Sentiment(polarity=0.2852272727272727, subjectivity=0.38825757575757575)",0.285227273,0.388257576,0.9519,0,0.784,0.216,great custom take long respond transfer account say account found correct day account gone bank account edit review answer help,0.7783,0,0.726,0.274,"Sentiment(polarity=0.375, subjectivity=0.575)",0.375,0.575
"Verifications sent to older phone instead my old phone was reseted to factory mode, its mean i cant use it anymore",1,0,negative,"Sentiment(polarity=-0.015277777777777779, subjectivity=0.4069444444444444)",-0.015277778,0.406944444,0,0,1,0,sent older phone instead phone reset mode mean cant,0,0,1,0,"Sentiment(polarity=-0.07291666666666667, subjectivity=0.5104166666666666)",-0.072916667,0.510416667
"I can't open the app, when I start and fill the pin, application was denied and back to homepage. How I can resolve this?",1,0,negative,"Sentiment(polarity=0.0, subjectivity=0.25)",0,0.25,-0.0772,0.105,0.8,0.095,open start fill back,0,0,1,0,"Sentiment(polarity=0.0, subjectivity=0.25)",0,0.25
App is super slow. And logging in is such an effort because the app keeps saying 'smth went wrong'. Making transactions takes FOREVER even for the simplest things like e-wallet top up or transfer to other banks.,1,0,negative,"Sentiment(polarity=-0.015277777777777788, subjectivity=0.5569444444444445)",-0.015277778,0.556944444,0.6249,0.07,0.745,0.185,super slow log effort keep say went wrong make transact take even thing like wallet transfer bank,0.5106,0.132,0.596,0.272,"Sentiment(polarity=-0.15555555555555559, subjectivity=0.6555555555555556)",-0.155555556,0.655555556
"Unable to login. It keeps on saying âSomething went wrongâ. The app is updated, the password is correct, what is it that doesn't allow me to get into my own account. I primarily use it to save money how am I suppose to monitor it now? First time user and you guys already give me mini heart attack. It's not even a month I joined and this happened. Is this a joke?",1,0,negative,"Sentiment(polarity=0.1875, subjectivity=0.5833333333333334)",0.1875,0.583333333,0.7347,0.058,0.82,0.122,login keep say went password correct allow account save money monitor first time user guy give heart attack even month join happen joke,0.8625,0.092,0.503,0.405,"Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.333333333
"The LEAST RELIABLE banking app ever. Takes TOO long for a single transfer. Can't even handle such a basic function of digital bank like money transfers. No notif whatsoever when it's under maintenance or having issues. The CS is definitely the WORST. No SLA. Even with your proactive follow up efforts, they still take days to give you reply with only ZERO result in the end. And who would believe that your complain has actually been investigated when they can't even get your name right?",1,0,negative,"Sentiment(polarity=-0.10324675324675324, subjectivity=0.434090909090909)",-0.103246753,0.434090909,-0.5766,0.12,0.798,0.082,least bank ever take long transfer even basic function digit bank like money transfer worst even follow effort still take day give zero result would complain actual even name right,-0.6249,0.183,0.748,0.069,"Sentiment(polarity=-0.17738095238095242, subjectivity=0.42678571428571427)",-0.177380952,0.426785714
"Insecure app. Very bad customer services. I lost my money about 4 times, trying to get help, ticket has received at 14 Jan '22 and they said it will be processed in 1x24 hours. Sadly, there's nothing, exactly nothing any news, any result until today 27 Jan '22, and when I asked the CS they only said it will be follow up again and again. After this problem solved, I think I won't use this worse app anymore. ððð",1,0,negative,"Sentiment(polarity=-0.34333333333333327, subjectivity=0.7652777777777778)",-0.343333333,0.765277778,-0.928,0.196,0.753,0.051,veri custom lost money time tri help ticket said process hour news result today ask said follow problem think,-0.3182,0.211,0.675,0.114,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
"trash, not working at all.",1,0,negative,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,0,0,1,0,trash work,0,0,1,0,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
"Failed to lock pocket, I've tried repeatedly",1,0,negative,"Sentiment(polarity=-0.5, subjectivity=0.3)",-0.5,0.3,-0.5106,0.355,0.645,0,fail lock pocket tri,-0.5423,0.538,0.462,0,"Sentiment(polarity=-0.5, subjectivity=0.29999999999999993)",-0.5,0.3
"Force close, can't even make an account",1,0,negative,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,0,0,1,0,close even make account,0,0,1,0,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0
"I'll give you one out of five stars. Not because I don't like it, or I hate the app. I just hate the fact that my phone can not access this app, cause every time I entered my pin, then the application will be force closed. So basically, I can't use this app. I'll change the rating score if you help me to solve my problem. And I will only change it if the trouble was solved. Thanks in advance.",1,0,negative,"Sentiment(polarity=-0.2833333333333334, subjectivity=0.5500000000000002)",-0.283333333,0.55,-0.7514,0.156,0.744,0.1,give five star like hate hate fact phone access time enter close basic chang rate score help problem chang thank,-0.5267,0.318,0.44,0.242,"Sentiment(polarity=-0.5333333333333333, subjectivity=0.6416666666666667)",-0.533333333,0.641666667
Can't login. It said signal lost. While it is fine.,1,0,negative,"Sentiment(polarity=0.4166666666666667, subjectivity=0.5)",0.416666667,0.5,-0.128,0.19,0.661,0.149,login said signal lost fine,-0.128,0.324,0.423,0.254,"Sentiment(polarity=0.4166666666666667, subjectivity=0.5)",0.416666667,0.5
"Pocket? It should only have 1, but seems because bug or lag, multiple pockets of same type created (note, this is bank app, and cannot make idempotent or reliable transactions?) Contact cs? Even the deeplink broken. Messages in notif can be missing as well. Again, finance app unreliable? 3 days I am getting msg in-app for promo. But not seeing details in homepage as said. CS not helpful. I said I transferred all out of jago, and CS said ""baik kak"" Seems CS also supports to not using this.",1,0,negative,"Sentiment(polarity=-0.12000000000000002, subjectivity=0.315)",-0.12,0.315,-0.7655,0.134,0.785,0.08,pocket seem pocket type creat note bank make transact contact even broken miss well day get see detail said help said transfer said seem also support use,0.4215,0.137,0.643,0.219,"Sentiment(polarity=-0.4, subjectivity=0.4)",-0.4,0.4
"Unable to make cards, filed a ticket and only got the ""log out and log back in"" solution which doesn't help at all. Don't bother downloading this app until it's much more stable.",1,0,negative,"Sentiment(polarity=0.0, subjectivity=0.5)",0,0.5,0.5531,0.059,0.761,0.179,make card file ticket back help bother much,0.0772,0.216,0.541,0.243,"Sentiment(polarity=0.1, subjectivity=0.1)",0.1,0.1
"It sucks so much lately. I've transferred money from other bank to my main pocket but my balance haven't been update and I cant make payment. Tried to call CS several times but no solution. Jago used to be the best digital bank but now the CS is meh. No solution, no nothing, just 'please wait while we fix your problem' Guess what? Not fixing anything. And I'm pretty sure they'll reply my review with 'oh we're so sorry please contact tanya jago yadda yadda' without actually fixing anything",1,0,negative,"Sentiment(polarity=0.06287878787878788, subjectivity=0.4452020202020202)",0.062878788,0.44520202,0.7621,0.145,0.688,0.167,suck much late transfer money bank main pocket cant make payment tri call sever time use best digit bank wait problem guess fix sure review contact without actual fix,0.2263,0.151,0.674,0.175,"Sentiment(polarity=0.2733333333333333, subjectivity=0.4444444444444445)",0.273333333,0.444444444
"The first impression while register the account is very bad, while videocall verification the system said ""poor internet connection"" even though my internet is 500mbs and it's very stable Then I contacted customer service, and the solution was tried on another device, after trying it the results are the same I read the review on the appstore and comments on social media, it turns out that many customers have complained about the service, very very bad app and services",1,0,negative,"Sentiment(polarity=-0.1707407407407407, subjectivity=0.4287037037037037)",-0.170740741,0.428703704,-0.839,0.148,0.78,0.072,first impress account veri system said poor connect even though veri contact custom tri tri result read review comment social media turn mani custom complain veri veri,-0.4019,0.172,0.738,0.089,"Sentiment(polarity=-0.038888888888888896, subjectivity=0.3333333333333333)",-0.038888889,0.333333333
"Their customer service is the worst. I have a refund since last month and haven't received it in my account. Already reached them via email, WA, and phone call, all without any solution. They always say, wait maximum of 1x24 hours, but nothing. DON'T YOU DARE TELL ME TO CALL YOUR SUPPORT AGAIN!",1,0,negative,"Sentiment(polarity=-0.5, subjectivity=0.5333333333333333)",-0.5,0.533333333,0.4785,0.068,0.828,0.104,custom worst refund last month account reach phone call without alway wait maximum hour dare tell call support,-0.3182,0.179,0.655,0.166,"Sentiment(polarity=-0.5, subjectivity=0.5333333333333333)",-0.5,0.533333333
"I need to post with 1 star for reminder that suddenly one of My Pocket is missing ð¬. CS is good and very helpful, he stated that my pocket is STILL EXIST on their side of data. but none on my side. and no Apps updates needed on my side. Jago needs to track whats wrong.. I believe this is SERIOUS ISSUE like losing your cheque book.. scary ð¥",1,0,negative,"Sentiment(polarity=-0.09047619047619047, subjectivity=0.5738095238095238)",-0.09047619,0.573809524,-0.911,0.218,0.697,0.084,need post star remind pocket miss good veri help state pocket still exist side data none side need side need track wrong like lose book,0.1779,0.214,0.551,0.235,"Sentiment(polarity=0.09999999999999998, subjectivity=0.75)",0.1,0.75
"So weird, suddenly my money in main pocket was lost for a transaction that I never know and never confirm. The support team not helping on checking and past it to the finance team who work only for weekdays. So I need to wait for my lost money ð­ð­ð­",1,0,negative,"Sentiment(polarity=-0.11666666666666667, subjectivity=0.6166666666666666)",-0.116666667,0.616666667,-0.8289,0.196,0.804,0,weird money main pocket lost transact never know never confirm support team help check past team work weekday need wait lost money,-0.5938,0.303,0.602,0.096,"Sentiment(polarity=-0.19444444444444445, subjectivity=0.5277777777777778)",-0.194444444,0.527777778
"Take selfie registration doesn't work on my phone. Everytime i try to complete this step, it's always took photo immediately right after i click take selfie button and then it's hang afterwards. Please fix this",1,0,negative,"Sentiment(polarity=0.19285714285714284, subjectivity=0.46785714285714286)",0.192857143,0.467857143,0.3182,0,0.937,0.063,take work phone step alway took photo right click take button afterward,0,0,1,0,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)",0.285714286,0.535714286
"stupid app! you'll get emotional when you reinstalled it to new phone, the app will asking 2 step verification without any further notification. then when you chose 'i dont have my blabla', it will asked your login, pass, nik, and some stupid questions about pocket. then it will verify you with otp. so, i made a call to cs and said want to close my acc. too much complexity for small bank, just for the login. not worthed at all. note: to make it harder please ask for: pin, card, npwp, bpjs, jht!",1,0,negative,"Sentiment(polarity=-0.22982954545454545, subjectivity=0.5255681818181819)",-0.229829545,0.525568182,-0.6351,0.073,0.875,0.052,stupid phone ask step without chose dont ask login pass stupid question pocket made call said want close much complex small bank login worth note make harder card,-0.6808,0.2,0.706,0.094,"Sentiment(polarity=-0.325, subjectivity=0.48333333333333334)",-0.325,0.483333333
Transfer out is so difficult almost failed/loading at all times. When needed fast the app is not reliable. There's even notification to wait my transfer processing max 24h only for transfer out.,1,0,negative,"Sentiment(polarity=-0.09999999999999999, subjectivity=0.8666666666666667)",-0.1,0.866666667,-0.5009,0.095,0.905,0,transfer difficult almost fail load time need fast even wait transfer process transfer,-0.6915,0.342,0.658,0,"Sentiment(polarity=-0.26666666666666666, subjectivity=0.6333333333333333)",-0.266666667,0.633333333
"Unable to open Tab ""Card""",1,0,negative,"Sentiment(polarity=-0.25, subjectivity=0.5)",-0.25,0.5,0,0,1,0,open card,0,0,1,0,"Sentiment(polarity=0.0, subjectivity=0.5)",0,0.5
